Year,Country,Region,Income_Group,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,Overall_Score
2016,DOM,Latin America & Caribbean,3,0.439513933,0.344913219,0.535936617,0.601747808,0.609082095,0.411091079,0.456380581,0.338669406,0.467166842
2016,ECU,Latin America & Caribbean,3,0.385573811,0.419027888,0.449077322,0.512341452,0.600778586,0.463051337,0.437566602,0.359684281,0.45338766
2016,EGY,Middle East & North Africa,2,0.312734132,0.450954381,0.230878483,0.294474917,0.492794695,0.328642392,0.382330407,0.427475734,0.365035643
2016,SLV,Latin America & Caribbean,2,0.510073052,0.424150812,0.511001071,0.569713983,0.626437294,0.496045443,0.477388755,0.336243286,0.493881712
2016,EST,EU + EFTA + North America,4,0.800097613,0.778490894,0.809429695,0.799077947,0.852894302,0.781887603,0.770405002,0.702289926,0.786821623
2016,ETH,Sub-Saharan Africa,1,0.352701568,0.441571529,0.273275571,0.293471788,0.668166234,0.312193967,0.37303774,0.328369826,0.380348528
2016,FIN,EU + EFTA + North America,4,0.894543736,0.915697751,0.853659652,0.917065819,0.928412861,0.8260106,0.800019365,0.847503509,0.872864162
2016,FRA,EU + EFTA + North America,4,0.768675788,0.74266477,0.765170378,0.747152649,0.629032994,0.724887463,0.711259485,0.645526485,0.716796252
2016,GEO,Eastern Europe & Central Asia,3,0.621695186,0.726402009,0.632421259,0.675679348,0.777954307,0.617408583,0.61167474,0.561564414,0.653099981
2016,DEU,EU + EFTA + North America,4,0.853020453,0.835378117,0.787750262,0.854101576,0.865612147,0.848491562,0.859966226,0.772581211,0.834612694
2016,GHA,Sub-Saharan Africa,2,0.671370439,0.408800344,0.546441155,0.64747642,0.702774718,0.563185036,0.610939242,0.471364144,0.577793937
2016,GRC,EU + EFTA + North America,4,0.63939062,0.548153293,0.573787048,0.652965237,0.747934778,0.555282769,0.571738086,0.505544743,0.599349572
2016,GRD,Latin America & Caribbean,3,0.628448486,0.694570355,0.556115042,0.677169704,0.790551559,0.576103951,0.719470346,0.653389591,0.661977379
2016,GTM,Latin America & Caribbean,2,0.531903098,0.338794817,0.494789502,0.548502375,0.586897063,0.387038375,0.331831375,0.288734268,0.438561359
2016,GUY,Latin America & Caribbean,3,0.52855424,0.464812182,0.468628755,0.535708856,0.635354335,0.480300752,0.48186162,0.349154116,0.493046857
2016,HND,Latin America & Caribbean,2,0.440140193,0.355249816,0.459071709,0.441388801,0.56359646,0.414262651,0.425480509,0.251030267,0.418777551
2016,HKG,East Asia & Pacific,4,0.699061179,0.849793902,0.664290096,0.699647275,0.888600144,0.795265455,0.772468753,0.802151588,0.771409799
2016,HUN,EU + EFTA + North America,4,0.455629668,0.510197518,0.524966673,0.623904461,0.856850497,0.507636295,0.524216265,0.540842404,0.568030473
2016,IND,South Asia,2,0.642527697,0.438174325,0.662856789,0.501507447,0.559533217,0.45785482,0.426963777,0.413732541,0.512893827
2016,IDN,East Asia & Pacific,2,0.643801149,0.381782129,0.582216592,0.519156608,0.72529858,0.508300894,0.430900518,0.38118731,0.521580472
2016,IRN,Middle East & North Africa,3,0.435869556,0.480812332,0.338908918,0.287364548,0.717535182,0.499380501,0.550477009,0.426626091,0.467121767
2016,ITA,EU + EFTA + North America,4,0.700874184,0.600319406,0.630774125,0.721068253,0.720344944,0.572523436,0.570128939,0.638070565,0.644262982
2016,JAM,Latin America & Caribbean,3,0.643449773,0.546757339,0.58079974,0.63404337,0.63606555,0.537546407,0.544761664,0.454284526,0.572213546
2016,JPN,East Asia & Pacific,4,0.738767858,0.825573653,0.6844742,0.74835388,0.901312225,0.817320592,0.820645582,0.684292471,0.777592558
2016,JOR,Middle East & North Africa,3,0.53383898,0.663375154,0.425528859,0.501412995,0.787748962,0.578509887,0.625797273,0.587681367,0.587986685
2016,KAZ,Eastern Europe & Central Asia,3,0.440441234,0.433786209,0.479712665,0.454543407,0.756282868,0.50373633,0.546789301,0.405721874,0.502626736
2016,KEN,Sub-Saharan Africa,2,0.500757271,0.260441879,0.489394114,0.46882198,0.51117597,0.425379288,0.432309222,0.351268607,0.429943541
2016,KGZ,Eastern Europe & Central Asia,2,0.503484022,0.28179332,0.55369584,0.536713686,0.745326389,0.379132352,0.426448085,0.334997898,0.470198949
2016,LBN,Middle East & North Africa,3,0.51333466,0.364468729,0.427110512,0.510384438,0.644615381,0.406173365,0.477299964,0.308953932,0.456542623
2016,LBR,Sub-Saharan Africa,1,0.558179823,0.25941855,0.481613636,0.558147261,0.606174533,0.405760301,0.446243985,0.26478361,0.447540212
2016,MDG,Sub-Saharan Africa,1,0.459319444,0.300861922,0.456100729,0.491017516,0.729816529,0.382309198,0.411519548,0.398488796,0.45367921
2016,MWI,Sub-Saharan Africa,1,0.566814247,0.359317766,0.499682822,0.577206407,0.62038981,0.451744162,0.543418321,0.443950073,0.507815451
2016,MYS,East Asia & Pacific,3,0.496421308,0.610992868,0.348708536,0.437418513,0.819624074,0.469548521,0.563091023,0.5576587,0.537932943
2016,MEX,Latin America & Caribbean,3,0.469234469,0.323530809,0.608606362,0.513269308,0.614766299,0.439778183,0.407680626,0.286105451,0.457871438
2016,MDA,Eastern Europe & Central Asia,2,0.434512417,0.28250695,0.581240632,0.577088586,0.81019474,0.405815886,0.464857986,0.382052798,0.492283749
2016,MNG,East Asia & Pacific,2,0.532878257,0.405277525,0.478567513,0.603257384,0.794983916,0.471169959,0.544689998,0.483811575,0.539329516
2016,MAR,Middle East & North Africa,2,0.572607966,0.540413936,0.465382612,0.454848004,0.732427785,0.543614405,0.534896035,0.368541031,0.526591472
2016,MMR,East Asia & Pacific,2,0.50101824,0.437397034,0.333857316,0.30287421,0.728610263,0.436315467,0.420903598,0.318738867,0.434964374
2016,NPL,South Asia,1,0.629108739,0.384488372,0.538407002,0.533772032,0.736192683,0.477627581,0.414788272,0.444216055,0.519825092
2016,NLD,EU + EFTA + North America,4,0.88967557,0.883829006,0.846983302,0.856290044,0.84897051,0.879217844,0.877353257,0.799106176,0.860178213
2016,NZL,East Asia & Pacific,4,0.860570005,0.898397363,0.838543524,0.816516405,0.863841727,0.824373103,0.784025349,0.750677542,0.829618127
2016,NIC,Latin America & Caribbean,2,0.323932145,0.370364446,0.411267631,0.452296196,0.660495396,0.464206139,0.367695784,0.315119647,0.420672173
2016,NGA,Sub-Saharan Africa,2,0.537915783,0.304254222,0.425299243,0.457901274,0.480959147,0.43278913,0.479890748,0.418552149,0.442195212
2016,MKD,Eastern Europe & Central Asia,3,0.431572052,0.501284169,0.561454999,0.543721552,0.743031533,0.47252654,0.55831433,0.514202052,0.540763404
2016,NOR,EU + EFTA + North America,4,0.911159574,0.919746249,0.873223455,0.894219616,0.901488571,0.861628448,0.851138473,0.834871478,0.880934483
2016,PAK,South Asia,2,0.515333835,0.325763582,0.456962885,0.394597937,0.292550485,0.343797506,0.370222933,0.376854053,0.384510402
2016,PAN,Latin America & Caribbean,3,0.557104018,0.452923928,0.57592668,0.625555578,0.670966644,0.517282759,0.483810626,0.287657647,0.521403485
2016,PER,Latin America & Caribbean,3,0.627143829,0.355982669,0.56073144,0.64014158,0.643349901,0.497350625,0.437203589,0.344262193,0.513270728
2016,PHL,East Asia & Pacific,2,0.589669463,0.482849688,0.508938532,0.497085868,0.665711647,0.50504515,0.448977709,0.364226548,0.507813076
2016,POL,EU + EFTA + North America,4,0.678145813,0.730278305,0.723708951,0.736487299,0.851198052,0.621014088,0.662966417,0.691168318,0.711870905
